Id,Name
7425,The Queensway at South Kingsway
7465,Russell Hill Rd / St Clair Ave W
7429,Woodbine Subway Station
7487,Eastwood Rd / Woodbine Ave - SMART
7453,Jarvis St / Maitland Pl
7413,Dundas St W / Watkinson Ave
7476,Symington Ave / Dupont St
7481,Westmount Ave / St Clair Ave W
7491,D'Arcy St / Spadina Ave - SMART
7492,Cherry St / Lake Shore Blvd E
7455,E.T. Seton Park (Eglinton Ave E / Leslie St)
7493,Sackville St / Eastern Ave - SMART
7431,Gerrard St E / Leslie St
7442,Lonsdale Rd / Spadina Rd
7494,Davenport Rd / McAlpine St - SMART
7466,Glendonwynne Rd / Bloor St W
7489,Sumach St  / Queen St E
7488,Summerhill Ave / Maclennan Ave
7497,128 Sterling Rd - SMART
7433,Dundas St E / Boulton Ave - SMART
7483,Southwood Dr / Kingston Rd - SMART
7501,Humberside Grounds - SMART
7502,University Ave / College St (East)
7496,Sunnyside Ave / The Queensway - SMART
7420,Barton Ave / Howland Ave - SMART
7218,Make Invisible - 7218
7508,Berkeley St / Dundas St E - SMART
7509,Ontario St / King St E
7505,Ontario St / Adelaide St E -SMART
7503,Gerrard St E / Malvern Ave - SMART
7448,Goodwood Park Crt / Dentonia Park
7484,Briar Hill Ave / Yonge St - SMART
7504,Gerrard St E / Victoria Park Ave - SMART
7485,Blythwood Rd / Yonge St - SMART
7506,Berkeley St / Adelaide St E - SMART
7510,Princes' Blvd / Nunavut Rd
7394,Toronto Bike Shop
7515,Amos Waites Park
7518,Lake Shore Blvd W / Colborne Lodge Dr - SMART
7514,Humber Bay Shores Park / Marine Parade Dr
7516,Superior Ave / Lake Shore Blvd W
7519,406 Oakwood Ave
7520,St Clarens Ave / Shirley St
7526,Bartlett Parkette
7524,Lisgar Park
7528,Spadina Rd / Austin Terrace
7530,Sherbourne St N / Elm Ave
7527,Joseph J Piccininni Community Centre
7525,Fennings St / Queen St W
7523,Lynn Williams St / East Liberty St - SMART
7534,Walnut Ave / Queen St W
7532,135 Queen’s Wharf - SMART
7535,Wolsley St / Palmerston Ave - SMART
7536,Palmerston Ave / Dundas St W
7531,541 Huron St - SMART
7542,Queen St W / John St
7538,Vaughan Rd /Wychwood Ave
7537,Euclid Ave / Herrick St - SMART
7543,Nassau St / Bellevue Ave
7545,Baldwin St / Henry St
7547,Orde St / McCaul St
7548,St. Joseph St / Bay St - SMART
7544,Foster Pl / Elizabeth St
7546,Ross St / Cecil St - SMART
7517,Ripley Ave / Ormskirk Ave
7555,Royal York Rd / Mimico Ave
7552,Lake Shore Blvd W / Thirty Ninth Street
7558,Berry Rd / Bell Manor Dr
7561,Annette St / Jane St
7553,Lake Shore Blvd W / Twenty Fourth St
7565,St Clair Ave W / Gunns Rd
7562,Priscilla Ave / Dundas St W
7563,St Clair Ave W / Castleton Ave
7554,Humber College
7560,Glenwood Ave / Runnymede Rd
7570,Carlaw Ave / Dundas St E
7569,Toronto Inukshuk Park
7568,Jameson Ave / Queen St W
7572,Cosburn Ave / Durant Ave
7567,Weston Lions Park
7566,Weston Rd / St Clair Ave W - SMART
7559,Swansea Community Centre
7533,Housey St / Dan Leckie Way
7571,Highfield Rd / Gerrard St E
7575,Bayview Ave / Lawren Harris Square
7556,Windsor St / Newcastle St
7564,Durie St / Dundas St W
7521,Emerson Ave / Bloor St W
7557,The Queensway / High St
7576,Front St E / Bayview Avenue
7541,Bellwoods Ave / Treford Pl - SMART
7551,The Esplanade / Hahn Pl
7573,Torrens Ave / Broadview Ave
7577,Oak St / Sumach St
7529,Symington Ave / Davenport Rd
7539,Davisville Ave / Pailton Cres
7549,439 Sherbourne St
7581,High Park Ave / Dundas St W
7540,Alvin Ave / St Clair Ave E
7580,Hillsdale Ave W / Yonge St
7579,Glebe Rd W / Yonge St
7582,Alameda Ave / Vaughan Rd - SMART
7583,Eglinton Ave W / Scarlett Rd
7584,The Pond Rd / Sentinel Rd
7585,Sentinel Rd / Finch Corridor Trail
7586,Finch West Subway Station
7588,G Ross Lord Park
7591,Elwood Blvd / Avenue Rd
7596,Langford Ave / Danforth Ave - SMART
7593,Roehampton Ave / Bayview Ave
7600,Ursula Franklin St / Huron St - SMART
7587,Dufferin St / Finch Corridor Trail
7601,Brick Works
7598,Teddington Park Ave
7599,Richmond St W / York St
7606,Dawes Rd / Taylor Creek Trl
7594,Fleming Cres / Bayview Ave
7597,Yonge St / Golfdale Rd
7605,Lumsden Ave / Eastdale Ave
7603,O'Connor Dr / Curity Ave - Smart
7607,Fairmount Park
7604,St Columba Pl / St Clair Ave E
7609,Sunnybrook Park
7620,Eglinton Ave E / Redpath Ave
7619,Braemar Ave / Eglinton Ave W
7618,Vaughan Rd / Oakwood Ave
7608,Wilket Creek Park
7602,Woodbine Ave / O'Connor Dr
7621,Long Branch GO Station
7623,Royal York Rd / Lake Shore Blvd W
7622,Marie Curtis Park
7617,Starspray Blvd / Lawrence Ave E
7626,Rouge Hill GO Station
7612,Livingston Rd / Guildwood Pkwy
7631,Florence Gell Park
7610,Kingston Rd / Beech Ave
7615,Colonel Danforth Park
7630,Twelfth St / Thirteenth St
7522,Wallace Ave / Pauline Ave
7625,Yonge St / Lawrence Ave E
7611,Victoria Park Ave / Danforth Ave
7614,Morningside Park (Highland Creek Trail)
7613,Livingston Rd (Highland Creek Trail)
7624,Guildwood GO Station (South)
7629,Lundy Ave / Étienne Brûlé Park
7589,Torresdale Ave / Antibes Dr
7632,Chiltern Hill Rd / Eglinton Ave W
7590,Esther Shiner Stadium
7578,Oak St / Parliament St
7635,Runnymede Rd / Annette St
7636,Bloor St W / Riverside Dr
7637,Judson St / Royal York Rd
7640,Spadina Rd / St.Clair Ave West
7633,Noble St / Queen St W
7641,Annette St / Dundas St W
7639,135 Queens Wharf Rd - SMART
7642,Yonge St / St Clair Ave
7643,Oriole Pkwy / Kilbarry Rd
7644,East Lynn Ave / Danforth Ave
7634,University Ave / Gerrard St W (WEST) - SMART
7627,Shaw St / Essex St - SMART
7646,University Ave / Richmond St W
7647,Elm St/ University Ave (East Side)
7648,909 Yonge St
7649,Greenwood Subway Station - SMART
7645,University of Toronto Scarborough
7650,St Clair West Subway Station - Heath Entrance
7616,Waterfront Trail (Rouge Hill)
7651,Bloor St W / Gladstone Ave
7595,Moore Park
7653,Bloor St W / Indian Rd
7654,Bloor St W / Pacific Ave - SMART
7655,Danforth Ave / Dewhurst Blvd
7656,Bloor St W / Brock Ave
7657,1 Market St - SMART
7658,King's Mill Park
7667,Spadina Ave / Sussex Ave - SMART
7662,Beaty Ave / Queen St W
7985,Wellesley Station Green P
7659,Amroth Ave / Danforth Ave
7201,Blantyre Park
7663,Kilgour Rd / Rumsey Rd
7665,Sunnybrook Health Centre - S Wing
7660,285 Victoria St
7666,Dundas St W / St Helen's Ave - SMART
7664,Sunnybrook Health Centre - L Wing
7668,Simcoe St / Dundas St W - SMART
7670,Yonge St / Woburn Ave - SMART
7671,Yonge St / Montgomery Ave - SMART
7675,1525 Dundas St W
7962,Yonge St / Orchard View Blvd
7763,640 Bloor Street E
7681,25 Booth Ave
7679,York University Station (North)
7498,Lower Don River Trail and Taylor Creek Trail
7677,1303 Yonge St - SMART
7678,York University Station (South) - SMART
7676,York University (Glendon Campus) - SMART
7638,Warehouse EBS-Station
7816,Bay St / Dundas St W
7787,HTO Park West
7810,Avenue Rd / Cumberland St 
7887,800 Fleet St (North)
7772,Simcoe St / King St W
7768,Armoury St / Chestnut St
7757,The Well
7779,165 McRae Dr
7818,Soudan Ave / Yonge St 
7907,365 Lippincott St
7716,Church St / The Esplanade
7850,Maud St / Adelaide St W
7729,265 Armadale Ave
7700,St Clair Ave W / Robina Ave
7693,Mutual St / Shuter St (Arena Gardens)
7687,Bloor St W / Gladstone Ave - SMART
7913,St. George St / Willcocks St
7785,Keele St / Dovehouse Ave - SMART
7867,15 Price St 
7899,Queens Park Cres / College St 
7682,Bathurst St / Front St W
7788,Queens Quay E / Lower Jarvis St 
7721,Widmer St / King St W
7719,Wolseley St / Augusta Ave
7796,Dundas St E / River St
7747,Eglinton Ave W / Ennerdale Rd
7713,Temperance St / Bay St
7684,Bay St / Harbour St (East)
7766,Albany Ave / Bloor St W
7928,Simcoe St / Pullan Pl
7770,Spadina Ave / Sullivan St
7925,Niagara St / King St W - SMART
7817,Shaw St / King St W
7900,Simcoe St / Elm St
7821,Lisgar St / Queen St W - SMART
7892,Erskine Ave / Redpath Ave
7717,Niagara St / Portland St
7912,Joe Shuster Way / King St W 
7917,King St W / University Ave
7761,Moss Park
7881,Queens Quay E / Merchants' Wharf
7843,Uno Dr / The Queensway
7791,Ossington Ave / Bruce St
7707,Coronation Park (Martin Goodman Trail)
7804,Lansdowne Ave / Seaforth Ave 
7910,Eglinton Ave E / Brentcliffe Rd
7929,Spadina Ave / Bulwer St- SMART 
7724,Wellesley St E / Parliament St
7711,Havelock St / Dewson St
7703,Oak St / Sackville St
7696,Heyworth Cres / Kingston Rd
7915,Rogers Rd / Watt Ave
7708,101 Cedarvale Ave
7702,111 Broadview Ave
7848,Gerrard St E / Nasmith Ave 
7739,Kingston Rd / Ridgemoor Ave
7857,Eglinton Ave W / Venn Cres
7718,St. Andrew's Playground Park
7802,King St W / Jameson Ave - SMART
7906,Princess St / Front St E
7933,Elizabeth St / Elm St
7841,Islington Subway Station (Aberfoyle Cres)
7790,Lynn Williams St / Pirandello St 
7856,Scarlett Rd / Old Scarlett Rd 
7798,Shuter St/River St
7705,Colgate Ave / Carlaw Ave
7927,Strachan Ave / East Liberty St - SMART
7822,Leslie St / Commissioners St  
7909,E.T Seton Park - South 
7815,Avenue Rd / Macpherson Ave 
7695,Queen St E / Joseph Duggan Rd
7823,Greenwood Ave / Sammon Ave
7807,552 Birchmount Rd
7803,Scarborough Soccer Centre
7706,Felstead Ave/Gillard Ave (Monarch Park)
7826,Greenwood Ave / Gerrard St E
7866,695 Lansdowne Ave 
7701,Roncesvalles Ave / Fermanagh Ave
7773,Grenoble Dr / Gateway Blvd
7935,Ramsden Park
7728,Randolph Ave / Perth Ave
7744,Rogers Rd / Prospect Cemetery
7862,Jane St / Weston Rd
7924,Duncan St / Adelaide St W - SMART
7710,11 Spadina Rd
7746,Marlee Ave / York Beltline Trail
7890,60 Broadway Ave
7752,1926 Lake Shore Blvd W
7725,Yonge St / Macpherson Ave
7748,Bloor St W / Old Mill Trl
7715,Lumsden Ave / Cedarvale Ave
7916,University Ave / Pearl St 
7838,Lake Shore Blvd W / Legion Rd
7755,Park Lawn Rd / Berry Rd
7813,Yonge St / Merton St 
7753,36 Park Lawn Rd
7731,Victoria Park Ave / Kingston Rd
7781,St Clair Ave W / Avenue Rd 
7688,High Park Blvd / Parkside Dr
7904,Palmerston Blvd / Lennox St
7789,75 Holly St
7926,McRae Dr / Laird Dr - SMART
7842,Lake Shore Blvd W / Long Branch Ave
7732,Kingston Rd / Warden Ave
7777,Thorncliffe Park Dr / Leaside Park Trail
7750,Luttrell Ave / Danforth Ave
7911,King St W / York St (2)
7691,Christie St / Dupont St
7922,35 Erindale Ave
7771,St. Clair Ave W / Osler St
7833,Glencairn Subway Station
7870,Humber River Hospital 
7736,Birchmount Rd / Kingston Rd
7760,Grand Avenue Park
7765,St. John's Rd / Dundas St W
7769,Lake Shore Blvd W / Brow Dr
7891,Opposite 1103 Leslie St
7858,Rogers Rd / Bicknell Ave
7808,Eastgate Cres / Pharmacy Ave 
7709,Beltline Trail / Yonge St
7794,York St / Harbour St (Love Park)
7780,Mount Pleasant Rd / Davisville Ave - SMART
7930,Dunn Ave / Queen St W
7805,Pharmacy Ave / Teesdale Pl
7699,St Clair Ave W / Oakwood Ave
7692,85 Lee Ave
7734,Danforth Ave / Warden Ave
7846,Bloor St W / Dundas St W (2)
7820,1612 Danforth Ave 
7903,St Clair Ave W / Symes Rd
7889,Dundas St W / Prince Edward Dr N
7730,800 Fleet St (South)
7863,Jane St / Queens Dr
7832,Finch Subway Station 
7901,Bloor St W / Kingsmill Rd
7932,Boston Ave / Queen St E- SMART
7704,24 Mountjoy Ave
7864,Sussex Ave / St George St
7827,Chatham Ave / Byron Ave
7898,University Ave / Gerrard St W - SMART(South)
